CID,workexp,age,gender,Source,Educ,previous,location,Joined
C2015RQEG8T,4,43,M,1-Consultancy,e1,Yes,L5,Joined
C2015NTKCS9,3,35,F,1-Consultancy,e1,No,L7,Joined
C2015QE4W0L,4,35,M,1-Consultancy,e2,No,L3,Not Joined
C2015WC8J2D,4,35,F,3-SocialMedia,e2,Yes,L2,Not Joined
C20158GKQ5X,3,37,M,1-Consultancy,e1,No,L4,Not Joined
C2015C9S0DB,4,38,F,1-Consultancy,e1,No,L5,Not Joined
C20157O8A1S,5,39,F,1-Consultancy,e1,No,L3,Joined
C20155NBN1M,4,37,M,2-Referral,e1,Yes,L1,Joined
C201537VIAC,4,38,M,1-Consultancy,e1,No,L2,Not Joined
C2015NYK0PT,4,32,F,2-Referral,e1,Yes,L4,Not Joined
C2015KV3BVB,4,35,M,1-Consultancy,e1,No,L5,Not Joined
C20152E46KJ,4,43,M,3-SocialMedia,e2,Yes,L1,Joined
C20156CS8L2,4,37,M,1-Consultancy,e2,No,L3,Not Joined
C2015JNK9T4,4,27,F,2-Referral,e1,No,L2,Not Joined
C20159LI5VH,4,37,M,1-Consultancy,e2,No,L4,Not Joined
C2015X4T1ON,4,35,M,2-Referral,e1,Yes,L1,Joined
C2015OBJF6Z,4,36,M,2-Referral,e2,No,L5,Joined
C2015OTTLGF,4,35,F,3-SocialMedia,e2,No,L3,Not Joined
C2015ZZPRMP,4,37,F,3-SocialMedia,e2,No,L3,Joined
C2015A0UQTQ,4,37,F,1-Consultancy,e1,No,L4,Not Joined
C2015XK0Q60,3,38,M,3-SocialMedia,e2,No,L5,Not Joined
C2015GYOGHQ,3,31,F,2-Referral,e2,Yes,L1,Not Joined
C2015YZBF93,5,37,M,2-Referral,e2,Yes,L3,Not Joined
C2015TK9QMY,5,38,F,3-SocialMedia,e2,No,L2,Not Joined
C2015BVLS6Z,4,32,M,2-Referral,e1,No,L4,Not Joined
C2015SQCJYI,4,35,F,1-Consultancy,e2,Yes,L5,Not Joined
C2015PH5VFW,4,35,F,2-Referral,e1,Yes,L3,Joined
C2015JKE1RH,3,36,F,2-Referral,e1,Yes,L1,Joined
C2015O042H6,4,27,M,3-SocialMedia,e1,No,L2,Not Joined
C2015AJ1UME,4,37,F,2-Referral,e1,No,L4,Not Joined
C2015TS7QNZ,3,37,M,2-Referral,e1,Yes,L3,Joined
C20155ISY3Q,4,36,F,3-SocialMedia,e1,Yes,L1,Not Joined
C20156S907Q,4,35,M,2-Referral,e2,No,L3,Not Joined
C2015JD2L1W,3,43,F,1-Consultancy,e1,No,L7,Joined
C2015VUASZM,4,37,M,3-SocialMedia,e2,No,L4,Not Joined
C2015Y0L21T,4,41,F,1-Consultancy,e1,Yes,L1,Joined
C20151CLSM9,4,31,M,3-SocialMedia,e1,No,L1,Not Joined
C2015W1UOL2,4,37,F,2-Referral,e1,No,L3,Not Joined
C2015WE5STG,4,38,M,3-SocialMedia,e2,Yes,L2,Not Joined
C2015UUB9SS,4,39,F,2-Referral,e1,Yes,L1,Joined
C2015JZ8YAS,4,35,M,3-SocialMedia,e2,Yes,L5,Not Joined
C2015PFWSK5,3,37,F,2-Referral,e1,No,L7,Joined
C2015Y7IVHF,4,40,M,2-Referral,e2,No,L3,Joined
C2015REJKHH,4,27,F,3-SocialMedia,e2,Yes,L2,Not Joined
C2015P5FCFT,4,43,F,2-Referral,e2,No,L5,Joined
C2015DKKDN7,4,35,M,1-Consultancy,e2,No,L7,Joined
C2015I15KLJ,3,41,M,2-Referral,e2,Yes,L3,Joined
C2015PE622J,4,44,F,2-Referral,e2,No,L1,Joined
C2015NV66DS,4,35,M,3-SocialMedia,e2,No,L2,Not Joined
C20159SOVSO,4,37,F,1-Consultancy,e2,Yes,L4,Not Joined
C2015JXIYEJ,4,39,M,1-Consultancy,e1,No,L3,Joined
C2015L05S67,3,31,F,2-Referral,e2,No,L1,Not Joined
C2015S2XQYV,4,37,M,3-SocialMedia,e2,No,L5,Joined
C201509SW6Z,4,38,F,1-Consultancy,e1,Yes,L2,Not Joined
C2015SV89LG,4,44,M,3-SocialMedia,e1,Yes,L3,Joined
C2015B5UX7E,4,43,F,2-Referral,e2,Yes,L1,Joined
C2015ZYQARQ,4,35,M,2-Referral,e1,No,L5,Joined
C2015NDKLGG,4,37,F,1-Consultancy,e2,No,L3,Not Joined
C20153QV6AA,3,27,M,3-SocialMedia,e1,Yes,L2,Not Joined
C2015Z2PX5X,4,35,F,3-SocialMedia,e2,No,L1,Joined
C2015IH5OBL,4,36,M,2-Referral,e1,No,L5,Joined
C2015I9RLYN,4,36,F,1-Consultancy,e2,No,L1,Not Joined
C20152TDQYI,3,37,M,1-Consultancy,e1,No,L3,Joined
C2015DTIHCY,3,37,F,2-Referral,e1,Yes,L1,Joined
C2015NK1I7E,4,37,M,1-Consultancy,e2,No,L4,Not Joined
C2015VC83MT,5,38,F,2-Referral,e2,Yes,L5,Not Joined
C2015XHF0AF,3,43,M,2-Referral,e1,Yes,L3,Joined
C2015AKNOEC,4,35,F,3-SocialMedia,e1,No,L1,Joined
C2015QSUGAT,3,41,F,1-Consultancy,e2,Yes,L5,Joined
C20159U8EIO,4,44,F,3-SocialMedia,e2,No,L7,Joined
C2015WI08BV,4,35,M,3-SocialMedia,e2,No,L3,Joined
C2015LU5HWW,4,36,F,3-SocialMedia,e2,Yes,L1,Not Joined
C2015JNP6YP,4,37,M,3-SocialMedia,e2,Yes,L3,Not Joined
C2015PJTVO1,4,27,F,1-Consultancy,e2,Yes,L2,Not Joined
C2015O15KNG,2,37,M,2-Referral,e1,No,L4,Not Joined
C2015DA3T0S,4,26,F,3-SocialMedia,e2,Yes,L5,Not Joined
C20156O5M78,4,36,M,2-Referral,e2,Yes,L1,Not Joined
C2015KKTDZD,3,43,F,3-SocialMedia,e2,Yes,L7,Joined
C2015XA8DLM,3,35,M,2-Referral,e2,Yes,L2,Not Joined
C2015PDLMRW,3,37,F,3-SocialMedia,e2,No,L4,Not Joined
C20153LBUZA,4,38,M,3-SocialMedia,e2,No,L5,Not Joined
C2015K5GDN8,4,35,F,1-Consultancy,e1,No,L7,Joined
C20153AZKE0,4,37,M,3-SocialMedia,e1,No,L3,Not Joined
C2015PV6Z4Y,4,39,F,1-Consultancy,e1,No,L1,Joined
C20157KULB2,3,32,M,3-SocialMedia,e1,Yes,L4,Not Joined
C2015MXB5FW,4,35,F,1-Consultancy,e1,Yes,L5,Not Joined
C2015XWJ7XE,4,40,F,2-Referral,e1,Yes,L3,Joined
C2015UXGS7V,4,37,F,2-Referral,e1,No,L3,Not Joined
C20150AT76O,3,43,F,2-Referral,e2,Yes,L5,Joined
C20155GGVYG,4,37,F,2-Referral,e1,No,L4,Not Joined
C2015SS4R8X,4,41,F,2-Referral,e2,No,L3,Joined
C201528AMD5,4,44,M,2-Referral,e2,Yes,L1,Joined
C2015WASQV5,4,35,M,1-Consultancy,e1,No,L3,Not Joined
C2015W1O0V4,3,35,F,1-Consultancy,e2,Yes,L2,Not Joined
C2015C0L7TC,4,37,M,3-SocialMedia,e1,No,L4,Not Joined
C2015O0U86A,4,37,F,3-SocialMedia,e1,Yes,L1,Joined
C2015JKQZFP,3,31,M,1-Consultancy,e2,No,L1,Not Joined
C2015WTL1A0,4,37,F,3-SocialMedia,e2,No,L3,Not Joined
C2015VWY2FU,3,38,M,1-Consultancy,e1,No,L2,Not Joined
C2015LICYDW,2,43,M,3-SocialMedia,e2,Yes,L1,Joined
C20158M527A,4,35,M,2-Referral,e2,Yes,L5,Joined
C2015IHPVPG,4,36,F,2-Referral,e1,No,L1,Not Joined
C2015TMRY85,3,37,M,3-SocialMedia,e2,No,L3,Not Joined
C2015J41J6U,4,35,F,3-SocialMedia,e1,Yes,L1,Joined
C201571GMT3,4,36,M,1-Consultancy,e2,Yes,L5,Joined
C2015IV9Q0V,3,26,F,1-Consultancy,e2,Yes,L5,Not Joined
C2015184QJT,4,37,M,2-Referral,e2,Yes,L3,Joined
C2015Y6DFIF,4,37,F,2-Referral,e1,Yes,L1,Joined
C201522QEA1,3,40,M,2-Referral,e1,Yes,L5,Joined
C2015LHN64X,5,44,F,2-Referral,e2,Yes,L7,Joined
C201509MOH4,3,43,F,3-SocialMedia,e2,No,L3,Joined
C2015ZEP6P8,3,35,F,2-Referral,e1,Yes,L1,Joined
C2015HI7MZ2,4,37,M,3-SocialMedia,e1,Yes,L3,Not Joined
C20157MOJUV,4,38,F,2-Referral,e1,No,L2,Not Joined
C2015EP1QOL,3,32,M,3-SocialMedia,e1,Yes,L4,Not Joined
C20152OE9OO,4,35,F,2-Referral,e1,Yes,L5,Not Joined
C2015UB37BR,3,36,M,2-Referral,e1,No,L1,Not Joined
C2015WRPQR5,4,37,F,2-Referral,e2,Yes,L7,Joined
C2015A4QBVZ,3,37,M,2-Referral,e1,Yes,L3,Joined
C2015DDH4V8,3,37,F,3-SocialMedia,e2,No,L4,Not Joined
C2015I5XDCY,3,44,F,3-SocialMedia,e1,No,L5,Joined
C2015MYDXW8,4,43,M,2-Referral,e1,No,L7,Joined
C2015R234A6,4,35,M,3-SocialMedia,e1,Yes,L3,Not Joined
C2015DKB70E,3,41,M,3-SocialMedia,e1,Yes,L1,Joined
C2015YNBXBI,3,37,M,1-Consultancy,e1,No,L4,Not Joined
C2015BT6AOG,4,35,F,1-Consultancy,e1,No,L7,Joined
C2015BM4G3T,3,31,M,3-SocialMedia,e2,No,L1,Not Joined
C2015G0CUKC,4,37,F,3-SocialMedia,e1,No,L3,Not Joined
C2015VF6ND0,4,38,M,1-Consultancy,e1,No,L2,Not Joined
C2015HX3IGN,3,32,F,2-Referral,e2,No,L4,Not Joined
C2015YIBVT5,4,35,M,2-Referral,e1,No,L5,Not Joined
C201589ZNO9,3,36,F,2-Referral,e2,No,L1,Not Joined
C2015GZT5R6,3,43,M,3-SocialMedia,e1,Yes,L5,Joined
C2015Y72VVA,5,27,F,3-SocialMedia,e2,No,L2,Not Joined
C2015EPHENN,4,41,F,2-Referral,e2,No,L3,Joined
C20153P8WZO,3,26,F,2-Referral,e2,Yes,L5,Not Joined
C2015AU4MJQ,3,36,M,1-Consultancy,e2,Yes,L1,Not Joined
C2015E2B64H,3,36,F,2-Referral,e2,Yes,L7,Joined
C2015ZZJ3PC,4,35,M,3-SocialMedia,e1,Yes,L2,Not Joined
C2015G2017C,3,37,F,2-Referral,e2,Yes,L4,Not Joined
C2015KVRG8D,4,38,M,1-Consultancy,e1,Yes,L5,Not Joined
C2015603BGW,3,31,F,2-Referral,e1,Yes,L1,Not Joined
C20153CKOWU,3,37,M,1-Consultancy,e2,Yes,L3,Not Joined
C201552J18N,3,43,M,1-Consultancy,e1,Yes,L1,Joined
C2015ZD7KLJ,3,35,F,2-Referral,e2,No,L5,Joined
C2015DMM8G9,4,35,F,2-Referral,e2,No,L5,Not Joined
C20154J6LU6,3,36,M,3-SocialMedia,e1,No,L1,Not Joined
C2015CRCWYS,3,37,F,3-SocialMedia,e2,Yes,L3,Not Joined
C2015GNEVIF,3,27,M,1-Consultancy,e2,Yes,L2,Not Joined
C20158WAR5A,4,37,F,2-Referral,e1,No,L4,Not Joined
C2015RPFZI3,4,26,M,3-SocialMedia,e1,No,L5,Not Joined
C20158DCT3A,4,37,F,2-Referral,e2,Yes,L1,Joined
C201503V9OX,4,40,F,1-Consultancy,e1,Yes,L5,Joined
C2015FTR2L8,4,35,F,2-Referral,e1,No,L2,Not Joined
C201598KBBW,4,37,M,2-Referral,e2,Yes,L4,Not Joined
C20152N0GTR,4,38,F,2-Referral,e1,Yes,L5,Not Joined
C20152GKF04,4,31,M,1-Consultancy,e2,No,L1,Not Joined
C2015007HS6,4,37,F,3-SocialMedia,e1,Yes,L3,Not Joined
C2015ZX32HB,4,35,F,2-Referral,e2,No,L3,Joined
C20156ZUHC4,4,36,F,2-Referral,e2,No,L1,Joined
C20150ZB3AR,4,39,M,3-SocialMedia,e2,No,L5,Joined
C2015VAAL5O,4,37,M,3-SocialMedia,e1,No,L7,Joined
C2015NFDVC6,4,37,M,3-SocialMedia,e1,No,L3,Not Joined
C2015SBUDQX,4,40,F,2-Referral,e1,Yes,L1,Joined
C2015DGCXKK,4,37,M,2-Referral,e1,No,L4,Not Joined
C2015PH5SOZ,3,43,F,2-Referral,e1,Yes,L7,Joined
C20155IOFG1,3,36,M,2-Referral,e2,No,L1,Not Joined
C2015I4CWE6,4,41,F,2-Referral,e1,Yes,L1,Joined
C2015BBA26L,4,35,M,3-SocialMedia,e1,Yes,L2,Not Joined
C2015F77XTG,3,37,F,3-SocialMedia,e2,No,L4,Not Joined
C2015SN3VR6,4,36,M,3-SocialMedia,e2,No,L3,Joined
C20151JVOMJ,4,31,F,2-Referral,e1,Yes,L1,Not Joined
C2015XDJAWL,4,37,M,2-Referral,e2,No,L3,Not Joined
C2015KTSN14,3,37,M,2-Referral,e2,Yes,L7,Joined
C2015KBZVHG,4,40,M,1-Consultancy,e1,Yes,L3,Joined
C2015CDYIUM,4,35,F,2-Referral,e2,Yes,L5,Not Joined
C201597GE7L,3,36,M,2-Referral,e1,No,L1,Not Joined
C2015804DG5,3,35,M,1-Consultancy,e1,No,L7,Joined
C2015ZZ3QXW,3,27,M,2-Referral,e2,No,L2,Not Joined
C2015DHPRQM,3,44,M,1-Consultancy,e1,No,L1,Joined
C2015SU7VFT,4,35,M,1-Consultancy,e1,No,L5,Joined
C2015UII4HE,4,36,F,2-Referral,e1,No,L7,Joined
C2015EFVGWS,3,39,M,1-Consultancy,e1,Yes,L3,Joined
C20150A5I0F,4,37,M,2-Referral,e2,Yes,L1,Joined
C2015BLYR69,3,37,M,3-SocialMedia,e2,Yes,L5,Joined
C2015GU0JY8,4,38,F,3-SocialMedia,e1,Yes,L5,Not Joined
C2015Z381JV,4,44,M,1-Consultancy,e2,No,L3,Joined
C2015FRQZAL,4,43,F,2-Referral,e1,Yes,L1,Joined
C2015BP0H5U,4,35,F,1-Consultancy,e1,Yes,L5,Joined
C20155PSHAV,4,41,M,1-Consultancy,e2,Yes,L7,Joined
C2015FK5TET,4,35,M,3-SocialMedia,e1,No,L5,Not Joined
C20150ZNED8,3,36,F,3-SocialMedia,e2,Yes,L1,Not Joined
C2015VYYWXV,4,37,M,2-Referral,e2,Yes,L3,Not Joined
C2015ES83BX,4,39,F,1-Consultancy,e1,Yes,L7,Joined
C2015B28ZT1,4,37,M,3-SocialMedia,e2,Yes,L4,Not Joined
C2015SU2ORC,4,37,F,2-Referral,e1,Yes,L1,Joined
C2015O0GO60,3,40,M,2-Referral,e1,No,L5,Joined
C2015VCAB0K,4,35,F,1-Consultancy,e1,No,L3,Not Joined
C20154PQR7F,4,35,M,1-Consultancy,e1,Yes,L2,Not Joined
C2015N8MGVC,3,35,M,3-SocialMedia,e1,Yes,L1,Joined
C2015QXIJQO,3,38,M,3-SocialMedia,e2,Yes,L5,Not Joined
C2015UY4CPQ,4,31,F,2-Referral,e1,No,L1,Not Joined
C2015CZJ7PZ,3,37,M,2-Referral,e2,No,L3,Not Joined
C2015XRI4D1,4,36,F,2-Referral,e1,Yes,L1,Joined
C2015CZQUGN,3,32,M,2-Referral,e1,Yes,L4,Not Joined
C2015A6AFP3,3,37,F,3-SocialMedia,e2,No,L7,Joined
C201565BU57,4,36,M,3-SocialMedia,e2,Yes,L1,Not Joined
C201503245A,4,40,M,1-Consultancy,e1,Yes,L1,Joined
C20155ZVDPC,3,44,M,3-SocialMedia,e1,No,L5,Joined
C201579NT6N,3,37,F,2-Referral,e2,Yes,L4,Not Joined
C2015LV4WK3,4,35,M,3-SocialMedia,e2,No,L3,Joined
C2015L4JRU4,4,41,F,2-Referral,e1,Yes,L1,Joined
C2015O6KH3O,4,44,F,3-SocialMedia,e1,Yes,L5,Joined
C2015HYDB0W,3,35,F,3-SocialMedia,e2,Yes,L2,Not Joined
C2015RP2C06,3,37,M,3-SocialMedia,e2,Yes,L4,Not Joined
C2015LNU7HA,3,39,F,2-Referral,e1,No,L1,Joined
C2015D9QO1Z,3,37,M,2-Referral,e1,No,L5,Joined
C2015CYXUH0,4,37,M,1-Consultancy,e1,No,L7,Joined
C2015HBYET5,4,40,F,2-Referral,e2,Yes,L3,Joined
C20159DVDM7,4,32,F,3-SocialMedia,e1,Yes,L4,Not Joined
C20154QI1AW,3,35,M,2-Referral,e2,No,L5,Not Joined
C2015GFQ61S,4,35,M,1-Consultancy,e1,No,L7,Joined
C20158Y699G,4,37,M,3-SocialMedia,e2,Yes,L3,Not Joined
C2015Q4O1WB,5,44,F,2-Referral,e2,Yes,L1,Joined
C2015D4XS6W,4,37,M,2-Referral,e2,No,L4,Not Joined
C2015V3H80C,3,26,F,2-Referral,e1,Yes,L5,Not Joined
C201568DWP7,4,36,M,3-SocialMedia,e1,No,L1,Not Joined
C2015YEXM8F,4,35,F,1-Consultancy,e1,Yes,L3,Not Joined
C2015FNV3WB,4,35,M,1-Consultancy,e1,No,L2,Not Joined
C2015MCOOAM,3,37,F,3-SocialMedia,e1,No,L4,Not Joined
C2015H8DCJH,4,38,M,3-SocialMedia,e1,No,L5,Not Joined
C2015FENK22,4,43,M,2-Referral,e1,No,L1,Joined
C2015H1XOIA,4,35,F,2-Referral,e1,No,L5,Joined
C2015CT2ERQ,3,38,F,3-SocialMedia,e1,No,L2,Not Joined
C20157RGKYZ,4,44,M,1-Consultancy,e2,No,L3,Joined
C2015KO2U96,4,35,F,3-SocialMedia,e2,No,L5,Not Joined
C20151UTPRM,3,36,M,2-Referral,e2,Yes,L5,Joined
C2015X0C6OZ,4,37,F,1-Consultancy,e2,Yes,L3,Not Joined
C2015MOLUGM,4,27,M,2-Referral,e2,Yes,L2,Not Joined
C2015F27EP7,4,37,F,3-SocialMedia,e2,No,L4,Not Joined
C20151H3GK1,4,26,M,3-SocialMedia,e2,Yes,L5,Not Joined
C2015VS93OK,4,44,M,1-Consultancy,e1,No,L7,Joined
C2015PWUPFO,3,35,M,3-SocialMedia,e2,No,L3,Not Joined
C2015IM3ECU,4,35,F,1-Consultancy,e1,Yes,L1,Joined
C2015WUJLP9,4,41,F,1-Consultancy,e2,Yes,L5,Joined
C20156E68O6,4,38,F,2-Referral,e1,No,L5,Not Joined
C2015Q1VGF3,3,31,M,2-Referral,e2,Yes,L1,Not Joined
C2015YZ3NHV,4,36,F,3-SocialMedia,e1,No,L1,Joined
C2015MWTKFB,4,38,M,3-SocialMedia,e2,Yes,L2,Not Joined
C2015JOBCNK,4,32,F,3-SocialMedia,e1,Yes,L4,Not Joined
C2015NUJXVD,4,37,M,2-Referral,e1,Yes,L3,Joined
C2015GOQYNG,3,40,F,2-Referral,e2,No,L1,Joined
C2015ROJQSJ,5,44,M,2-Referral,e2,No,L5,Joined
C2015Z3EFXZ,4,43,M,2-Referral,e2,Yes,L7,Joined
C2015MIOVLY,3,37,M,2-Referral,e2,Yes,L4,Not Joined
C2015KCJVPN,4,26,F,2-Referral,e1,Yes,L5,Not Joined
C2015GWZQNH,3,44,F,1-Consultancy,e1,No,L5,Joined
C2015CJXYTJ,3,35,F,3-SocialMedia,e2,No,L3,Not Joined
C2015AWCGYV,3,35,M,2-Referral,e1,No,L2,Not Joined
C201583LIPX,4,37,F,1-Consultancy,e2,No,L4,Not Joined
C2015UIH7DN,4,38,M,2-Referral,e1,No,L5,Not Joined
C2015NG3JK3,4,37,F,2-Referral,e1,No,L7,Joined
C2015XV3NUV,3,40,M,3-SocialMedia,e1,No,L3,Joined
C2015DMY367,4,38,F,2-Referral,e2,Yes,L2,Not Joined
C2015JE35J9,3,43,M,1-Consultancy,e2,No,L5,Joined
C2015YSZP8Z,3,35,F,3-SocialMedia,e1,Yes,L5,Not Joined
C2015C2G8N5,4,36,M,3-SocialMedia,e2,Yes,L1,Not Joined
C2015FEZJBV,4,37,F,1-Consultancy,e1,No,L3,Not Joined
C20156HM7D0,4,35,M,1-Consultancy,e1,Yes,L5,Joined
C2015K0O4LO,4,36,F,3-SocialMedia,e1,No,L7,Joined
C2015CFR7PE,4,39,M,2-Referral,e2,Yes,L3,Joined
C2015SW86IZ,4,36,F,2-Referral,e2,No,L1,Not Joined
C2015MHS98S,3,37,M,2-Referral,e1,Yes,L5,Joined
C2015VDUCE5,3,35,F,3-SocialMedia,e2,No,L2,Not Joined
C2015XPK3H7,3,37,M,3-SocialMedia,e2,No,L4,Not Joined
C2015CR9IN4,4,43,F,3-SocialMedia,e1,Yes,L1,Joined
C20152X0VFX,4,35,M,3-SocialMedia,e1,No,L5,Joined
C20157O8CHE,4,37,F,1-Consultancy,e2,Yes,L3,Not Joined
C2015LTSPDX,3,44,M,3-SocialMedia,e1,Yes,L3,Joined
C2015NNJJYU,4,32,F,1-Consultancy,e2,No,L4,Not Joined
C2015PV1M9T,3,35,M,1-Consultancy,e2,Yes,L5,Not Joined
C2015VDCOG8,4,36,F,3-SocialMedia,e2,Yes,L1,Not Joined
C20155X48BU,4,37,M,3-SocialMedia,e1,Yes,L3,Not Joined
C2015A48SD2,4,27,F,1-Consultancy,e2,No,L2,Not Joined
C20152QL3KO,3,40,F,2-Referral,e2,Yes,L5,Joined
C2015KL9RRZ,3,44,F,3-SocialMedia,e2,No,L7,Joined
C2015TEEGLU,3,36,M,3-SocialMedia,e2,Yes,L1,Not Joined
C2015WRMP8S,4,35,M,1-Consultancy,e1,Yes,L1,Joined
C2015GGEMS3,4,35,M,2-Referral,e2,No,L2,Not Joined
C2015N9FSXH,3,37,F,1-Consultancy,e2,Yes,L4,Not Joined
C2015Y6I7P4,4,38,M,2-Referral,e1,Yes,L5,Not Joined
C20159VRLA8,4,36,F,3-SocialMedia,e2,Yes,L1,Joined
C2015PAUO7J,3,37,M,1-Consultancy,e1,Yes,L3,Not Joined
